panel,x,series,value,unit,provenance_status
largest_component,10,component_size,8,candidates,reported_in_article
largest_component,25,component_size,13,candidates,reported_in_article
largest_component,50,component_size,21,candidates,reported_in_article
largest_component,75,component_size,35,candidates,reported_in_article
largest_component,90,component_size,49,candidates,reported_in_article
largest_component,95,component_size,57,candidates,reported_in_article
largest_component,99,component_size,78,candidates,reported_in_article
gap,200,median,0.14,percent,reported_in_article
gap,300,median,0.24,percent,reported_in_article
gap,500,median,0.42,percent,reported_in_article
gap,750,median,0.58,percent,reported_in_article
gap,1000,median,0.73,percent,reported_in_article
gap,200,p95,0.48,percent,reported_in_article
gap,300,p95,0.72,percent,reported_in_article
gap,500,p95,1.28,percent,reported_in_article
gap,750,p95,1.92,percent,reported_in_article
gap,1000,p95,2.72,percent,reported_in_article
time,200,feasible_lower,0.3,ms/image,reported_in_article
time,300,feasible_lower,0.38,ms/image,reported_in_article
time,500,feasible_lower,0.55,ms/image,reported_in_article
time,750,feasible_lower,0.78,ms/image,reported_in_article
time,1000,feasible_lower,1.03,ms/image,reported_in_article
time,200,LP_upper,0.18,ms/image,reported_in_article
time,300,LP_upper,0.25,ms/image,reported_in_article
time,500,LP_upper,0.39,ms/image,reported_in_article
time,750,LP_upper,0.62,ms/image,reported_in_article
time,1000,LP_upper,0.91,ms/image,reported_in_article
time,200,DP_bookkeeping,0.41,ms/image,reported_in_article
time,300,DP_bookkeeping,0.51,ms/image,reported_in_article
time,500,DP_bookkeeping,0.74,ms/image,reported_in_article
time,750,DP_bookkeeping,1.02,ms/image,reported_in_article
time,1000,DP_bookkeeping,1.31,ms/image,reported_in_article
