panel,x,series,value,provenance_status
candidate_funnel,export,object_recall,96.8,reported_in_article
candidate_funnel,shared_cap,object_recall,95.9,reported_in_article
candidate_funnel,components,object_recall,95.7,reported_in_article
candidate_funnel,selected,object_recall,91.8,reported_in_article
candidate_funnel,export,UniqueGT-Cov,78.4,reported_in_article
candidate_funnel,shared_cap,UniqueGT-Cov,77.8,reported_in_article
candidate_funnel,components,UniqueGT-Cov,77.6,reported_in_article
candidate_funnel,selected,UniqueGT-Cov,75.5,reported_in_article
candidate_funnel,export,duplicate_edge_exposure,100,reported_in_article
candidate_funnel,shared_cap,duplicate_edge_exposure,98.6,reported_in_article
candidate_funnel,components,duplicate_edge_exposure,98.2,reported_in_article
candidate_funnel,selected,duplicate_edge_exposure,97.9,reported_in_article
calibration,500,feasible_family_fraction,0.28,reported_in_article
calibration,1000,feasible_family_fraction,0.46,reported_in_article
calibration,2500,feasible_family_fraction,0.7,reported_in_article
calibration,5000,feasible_family_fraction,0.89,reported_in_article
calibration,10000,feasible_family_fraction,0.96,reported_in_article
calibration,500,UCB_radius,0.025,reported_in_article
calibration,1000,UCB_radius,0.017,reported_in_article
calibration,2500,UCB_radius,0.01,reported_in_article
calibration,5000,UCB_radius,0.007,reported_in_article
calibration,10000,UCB_radius,0.005,reported_in_article
