result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t5_yolov8n_ap,Table V,global allocation,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP,39.62,39.0,0.62,0.38,0.86,points,,reported_in_article,,AP; broad headroom
t5_yolov8n_uniquegtcov_delta,Table V,global allocation,COCO,YOLOv8n,standard,DIAL-Full,matched local,UniqueGT-Cov delta,1.5,,,,,percentage points,,reported_in_article,,broad headroom
t5_yolov8n_udup_local,Table V,joint risk,COCO,YOLOv8n,standard,matched local,,Udup,0.049,,,,,bounded loss UCB,,reported_in_article,,
t5_yolov8n_udup_dial,Table V,joint risk,COCO,YOLOv8n,standard,DIAL-Full,,Udup,0.046,,,,,bounded loss UCB,,reported_in_article,,
t5_yolov8n_ucov_local,Table V,joint risk,COCO,YOLOv8n,standard,matched local,,Ucov,0.099,,,,,bounded loss UCB,,reported_in_article,,
t5_yolov8n_ucov_dial,Table V,joint risk,COCO,YOLOv8n,standard,DIAL-Full,,Ucov,0.088,,,,,bounded loss UCB,,reported_in_article,,
t5_yolov12l_ap,Table V,global allocation,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP,54.86,54.45,0.41,0.2,0.62,points,,reported_in_article,,AP; current dense
t5_yolov12l_uniquegtcov_delta,Table V,global allocation,COCO,YOLOv12-L,standard,DIAL-Full,matched local,UniqueGT-Cov delta,0.8,,,,,percentage points,,reported_in_article,,current dense
t5_yolov12l_udup_local,Table V,joint risk,COCO,YOLOv12-L,standard,matched local,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,
t5_yolov12l_udup_dial,Table V,joint risk,COCO,YOLOv12-L,standard,DIAL-Full,,Udup,0.045,,,,,bounded loss UCB,,reported_in_article,,
t5_yolov12l_ucov_local,Table V,joint risk,COCO,YOLOv12-L,standard,matched local,,Ucov,0.097,,,,,bounded loss UCB,,reported_in_article,,
