result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t6_yolov8n_ap,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP,39.62,39.0,0.62,,,points,,reported_in_article,,
t6_yolov8n_ap50,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP50,57.4,56.7,0.7,,,points,,reported_in_article,,
t6_yolov8n_ap75,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP75,42.9,42.2,0.7,,,points,,reported_in_article,,
t6_yolov8n_aps,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,APS,22.3,21.8,0.5,,,points,,reported_in_article,,
t6_yolov8n_apm,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,APM,43.1,42.4,0.7,,,points,,reported_in_article,,
t6_yolov8n_apl,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,APL,51.5,50.8,0.7,,,points,,reported_in_article,,
t6_yolov8n_ar100,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AR100,57.0,56.1,0.9,,,points,,reported_in_article,,
t6_yolov12l_ap,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP,54.86,54.45,0.41,,,points,,reported_in_article,,
t6_yolov12l_ap50,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP50,72.5,72.1,0.4,,,points,,reported_in_article,,
t6_yolov12l_ap75,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP75,60.0,59.5,0.5,,,points,,reported_in_article,,
t6_yolov12l_aps,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,APS,37.2,36.8,0.4,,,points,,reported_in_article,,
t6_yolov12l_apm,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,APM,58.9,58.4,0.5,,,points,,reported_in_article,,
t6_yolov12l_apl,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,APL,70.2,69.7,0.5,,,points,,reported_in_article,,
t6_yolov12l_ar100,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AR100,70.6,70.0,0.6,,,points,,reported_in_article,,
t6_dfinel_ap,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP,54.89,54.5,0.39,,,points,,reported_in_article,,
t6_dfinel_ap50,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP50,72.8,72.4,0.4,,,points,,reported_in_article,,
t6_dfinel_ap75,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP75,60.1,59.7,0.4,,,points,,reported_in_article,,
t6_dfinel_aps,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,APS,37.3,36.9,0.4,,,points,,reported_in_article,,
t6_dfinel_apm,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,APM,59.1,58.6,0.5,,,points,,reported_in_article,,
t6_dfinel_apl,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,APL,70.3,69.8,0.5,,,points,,reported_in_article,,
t6_dfinel_ar100,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AR100,70.8,70.3,0.5,,,points,,reported_in_article,,
t6_deimdfinel_ap,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP,55.48,55.13,0.35,,,points,,reported_in_article,,
t6_deimdfinel_ap50,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP50,73.6,73.2,0.4,,,points,,reported_in_article,,
t6_deimdfinel_ap75,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP75,61.0,60.6,0.4,,,points,,reported_in_article,,
t6_deimdfinel_aps,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,APS,38.1,37.7,0.4,,,points,,reported_in_article,,
t6_deimdfinel_apm,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,APM,59.7,59.3,0.4,,,points,,reported_in_article,,
t6_deimdfinel_apl,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,APL,70.9,70.5,0.4,,,points,,reported_in_article,,
t6_deimdfinel_ar100,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AR100,71.5,71.0,0.5,,,points,,reported_in_article,,
t6_dinor50_ap,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AP,53.22,52.91,0.31,,,points,,reported_in_article,,
t6_dinor50_ap50,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AP50,70.8,70.5,0.3,,,points,,reported_in_article,,
t6_dinor50_ap75,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AP75,58.2,57.8,0.4,,,points,,reported_in_article,,
t6_dinor50_aps,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,APS,35.3,35.0,0.3,,,points,,reported_in_article,,
t6_dinor50_apm,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,APM,57.3,56.9,0.4,,,points,,reported_in_article,,
t6_dinor50_apl,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,APL,68.4,68.1,0.3,,,points,,reported_in_article,,
t6_dinor50_ar100,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AR100,69.2,68.8,0.4,,,points,,reported_in_article,,
t6_fasterrcnnr50_ap,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AP,41.01,40.63,0.38,,,points,,reported_in_article,,
t6_fasterrcnnr50_ap50,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AP50,61.5,61.0,0.5,,,points,,reported_in_article,,
t6_fasterrcnnr50_ap75,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AP75,44.4,44.0,0.4,,,points,,reported_in_article,,
t6_fasterrcnnr50_aps,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,APS,24.5,24.1,0.4,,,points,,reported_in_article,,
t6_fasterrcnnr50_apm,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,APM,44.7,44.2,0.5,,,points,,reported_in_article,,
t6_fasterrcnnr50_apl,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,APL,52.9,52.4,0.5,,,points,,reported_in_article,,
t6_fasterrcnnr50_ar100,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AR100,58.8,58.2,0.6,,,points,,reported_in_article,,
