result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t8_matched_local_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,AP,87.35,,,,,points,,reported_in_article,,strongest independent keep/reject
t8_matched_local_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,UniqueGT-Cov,82.0,,,,,percent,,reported_in_article,,strongest independent keep/reject
t8_matched_local_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,Udup,0.049,,,,,bounded loss UCB,,reported_in_article,,strongest independent keep/reject
t8_matched_local_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,Ucov,0.098,,,,,bounded loss UCB,,reported_in_article,,strongest independent keep/reject
t8_matched_local_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,decoder latency,2.1,,,,,ms/image,,reported_in_article,,strongest independent keep/reject
t8_iou_cal_2024_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,AP,87.48,,,,,points,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,UniqueGT-Cov,82.2,,,,,percent,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,Ucov,0.096,,,,,bounded loss UCB,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,decoder latency,1.35,,,,,ms/image,,reported_in_article,,calibrated NMS-free rescoring
t8_cp_cluster_2022_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,AP,87.6,,,,,points,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,UniqueGT-Cov,82.4,,,,,percent,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,Ucov,0.095,,,,,bounded loss UCB,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,decoder latency,2.6,,,,,ms/image,,reported_in_article,,iterative confidence propagation
t8_otp_2023_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,AP,87.7,,,,,points,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,UniqueGT-Cov,82.6,,,,,percent,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,Udup,0.047,,,,,bounded loss UCB,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,Ucov,0.092,,,,,bounded loss UCB,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,decoder latency,2.45,,,,,ms/image,,reported_in_article,,visibility-conditioned threshold
t8_seq2seq_2023_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,AP,87.75,,,,,points,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,UniqueGT-Cov,82.7,,,,,percent,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,Udup,0.047,,,,,bounded loss UCB,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,Ucov,0.091,,,,,bounded loss UCB,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,decoder latency,3.4,,,,,ms/image,,reported_in_article,,attention-based contextual decision
t8_dpp_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,AP,87.64,,,,,points,,reported_in_article,,generic quality-diversity
t8_dpp_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,UniqueGT-Cov,82.5,,,,,percent,,reported_in_article,,generic quality-diversity
t8_dpp_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,generic quality-diversity
t8_dpp_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,Ucov,0.094,,,,,bounded loss UCB,,reported_in_article,,generic quality-diversity
t8_dpp_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,decoder latency,3.0,,,,,ms/image,,reported_in_article,,generic quality-diversity
t8_greedy_F_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,greedy F,,AP,87.95,,,,,points,,reported_in_article,,"same objective, no component DP"
t8_greedy_F_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,greedy F,,UniqueGT-Cov,82.8,,,,,percent,,reported_in_article,,"same objective, no component DP"
t8_greedy_F_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,greedy F,,Udup,0.046,,,,,bounded loss UCB,,reported_in_article,,"same objective, no component DP"
t8_greedy_F_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,greedy F,,Ucov,0.089,,,,,bounded loss UCB,,reported_in_article,,"same objective, no component DP"
t8_greedy_F_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,greedy F,,decoder latency,2.6,,,,,ms/image,,reported_in_article,,"same objective, no component DP"
t8_components_dp_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,components dp,,AP,88.15,,,,,points,,reported_in_article,,isolates cardinality allocation
