result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t11_nms300_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=300,reference,,proposal recall,96.8,,,,,percent,,reported_in_article,,
t11_nms300_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=300,reference,,selector latency,0.1,,,,,ms,,reported_in_article,,
t11_nms300_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=300,reference,,ROI/head latency,16.7,,,,,ms,,reported_in_article,,
t11_nms300_total,Table XI,systems,COCO,Faster R-CNN-R50,M=300,reference,,total latency,24.1,,,23.8,24.4,ms,,reported_in_article,,
t11_nms300_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=300,reference,,peak memory,3.62,,,,,GiB,,reported_in_article,,
t11_top200_deltaap,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,Top score,NMS-300,delta AP vs NMS-300,-0.02,,,-0.11,0.07,points,,reported_in_article,,
t11_top200_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,Top score,,proposal recall,96.1,,,,,percent,,reported_in_article,,
t11_top200_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=200,Top score,,Uprop,0.049,,,,,bounded miss UCB,,reported_in_article,,
t11_top200_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Top score,,selector latency,0.03,,,,,ms,,reported_in_article,,
t11_top200_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Top score,,ROI/head latency,11.6,,,,,ms,,reported_in_article,,
t11_top200_total,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Top score,,total latency,18.2,,,17.9,18.5,ms,,reported_in_article,,
t11_top200_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Top score,,peak memory,2.93,,,,,GiB,,reported_in_article,,
t11_local200_deltaap,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,Matched local,NMS-300,delta AP vs NMS-300,0.08,,,-0.02,0.18,points,,reported_in_article,,
t11_local200_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,Matched local,,proposal recall,96.5,,,,,percent,,reported_in_article,,
t11_local200_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=200,Matched local,,Uprop,0.043,,,,,bounded miss UCB,,reported_in_article,,
t11_local200_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Matched local,,selector latency,0.46,,,,,ms,,reported_in_article,,
t11_local200_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Matched local,,ROI/head latency,11.6,,,,,ms,,reported_in_article,,
t11_local200_total,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Matched local,,total latency,19.0,,,18.7,19.3,ms,,reported_in_article,,
t11_local200_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=200,Matched local,,peak memory,3.0,,,,,GiB,,reported_in_article,,
t11_dpp200_deltaap,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,DPP,NMS-300,delta AP vs NMS-300,0.12,,,0.01,0.23,points,,reported_in_article,,
t11_dpp200_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,DPP,,proposal recall,96.6,,,,,percent,,reported_in_article,,
t11_dpp200_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=200,DPP,,Uprop,0.04,,,,,bounded miss UCB,,reported_in_article,,
t11_dpp200_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DPP,,selector latency,1.05,,,,,ms,,reported_in_article,,
t11_dpp200_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DPP,,ROI/head latency,11.6,,,,,ms,,reported_in_article,,
t11_dpp200_total,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DPP,,total latency,19.6,,,19.3,19.9,ms,,reported_in_article,,
t11_dpp200_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DPP,,peak memory,3.08,,,,,GiB,,reported_in_article,,
t11_dial200_deltaap,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,DIAL-Prop,NMS-300,delta AP vs NMS-300,0.25,,,0.11,0.39,points,,reported_in_article,,
t11_dial200_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=200,DIAL-Prop,,proposal recall,97.0,,,,,percent,,reported_in_article,,
t11_dial200_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=200,DIAL-Prop,,Uprop,0.035,,,,,bounded miss UCB,,reported_in_article,,
t11_dial200_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DIAL-Prop,,selector latency,0.72,,,,,ms,,reported_in_article,,
t11_dial200_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DIAL-Prop,,ROI/head latency,11.6,,,,,ms,,reported_in_article,,
t11_dial200_total,Table XI,systems,COCO,Faster R-CNN-R50,M=200,DIAL-Prop,,total latency,18.9,,,18.6,19.2,ms,,reported_in_article,,
