result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t12_r50_nms300_recall,Table XII,multi-backbone proposal,COCO,R50,M=300,NMS,,proposal recall,96.8,,,,,percent,,reported_in_article,,reference
t12_r50_nms300_total,Table XII,systems,COCO,R50,M=300,NMS,,total latency,24.1,,,23.8,24.4,ms,,reported_in_article,,reference
t12_r50_dial200_boxap,Table XII,multi-backbone proposal,COCO,R50,M=200,DIAL-Prop,NMS-300,delta box AP vs NMS-300,0.25,,,0.11,0.39,points,,reported_in_article,,positive AP + saving
t12_r50_dial200_recall,Table XII,multi-backbone proposal,COCO,R50,M=200,DIAL-Prop,,proposal recall,97.0,,,,,percent,,reported_in_article,,positive AP + saving
t12_r50_dial200_uprop,Table XII,proposal risk,COCO,R50,M=200,DIAL-Prop,,Uprop,0.035,,,,,bounded miss UCB,,reported_in_article,,
t12_r50_dial200_total,Table XII,systems,COCO,R50,M=200,DIAL-Prop,,total latency,18.9,,,18.6,19.2,ms,,reported_in_article,,positive AP + saving
t12_r50_dial200_save,Table XII,systems,COCO,R50,M=200,DIAL-Prop,,net saving,5.2,,,,,ms,,reported_in_article,,positive AP + saving
t12_r50_dial150_boxap,Table XII,multi-backbone proposal,COCO,R50,M=150,DIAL-Prop,NMS-300,delta box AP vs NMS-300,0.01,,,-0.05,0.07,points,,reported_in_article,,equivalent + saving
t12_r50_dial150_recall,Table XII,multi-backbone proposal,COCO,R50,M=150,DIAL-Prop,,proposal recall,96.3,,,,,percent,,reported_in_article,,equivalent + saving
t12_r50_dial150_uprop,Table XII,proposal risk,COCO,R50,M=150,DIAL-Prop,,Uprop,0.044,,,,,bounded miss UCB,,reported_in_article,,
t12_r50_dial150_total,Table XII,systems,COCO,R50,M=150,DIAL-Prop,,total latency,16.4,,,16.1,16.7,ms,,reported_in_article,,equivalent + saving
t12_r50_dial150_save,Table XII,systems,COCO,R50,M=150,DIAL-Prop,,net saving,7.7,,,,,ms,,reported_in_article,,equivalent + saving
t12_r101_nms300_recall,Table XII,multi-backbone proposal,COCO,R101,M=300,NMS,,proposal recall,97.1,,,,,percent,,reported_in_article,,reference
t12_r101_nms300_total,Table XII,systems,COCO,R101,M=300,NMS,,total latency,33.7,,,33.3,34.1,ms,,reported_in_article,,reference
t12_r101_dial200_boxap,Table XII,multi-backbone proposal,COCO,R101,M=200,DIAL-Prop,NMS-300,delta box AP vs NMS-300,0.19,,,0.06,0.32,points,,reported_in_article,,positive AP + saving
t12_r101_dial200_recall,Table XII,multi-backbone proposal,COCO,R101,M=200,DIAL-Prop,,proposal recall,97.2,,,,,percent,,reported_in_article,,positive AP + saving
t12_r101_dial200_uprop,Table XII,proposal risk,COCO,R101,M=200,DIAL-Prop,,Uprop,0.033,,,,,bounded miss UCB,,reported_in_article,,
t12_r101_dial200_total,Table XII,systems,COCO,R101,M=200,DIAL-Prop,,total latency,25.7,,,25.3,26.1,ms,,reported_in_article,,positive AP + saving
t12_r101_dial200_save,Table XII,systems,COCO,R101,M=200,DIAL-Prop,,net saving,8.0,,,,,ms,,reported_in_article,,positive AP + saving
t12_r101_dial150_boxap,Table XII,multi-backbone proposal,COCO,R101,M=150,DIAL-Prop,NMS-300,delta box AP vs NMS-300,-0.01,,,-0.07,0.05,points,,reported_in_article,,equivalent + saving
t12_r101_dial150_recall,Table XII,multi-backbone proposal,COCO,R101,M=150,DIAL-Prop,,proposal recall,96.6,,,,,percent,,reported_in_article,,equivalent + saving
t12_r101_dial150_uprop,Table XII,proposal risk,COCO,R101,M=150,DIAL-Prop,,Uprop,0.042,,,,,bounded miss UCB,,reported_in_article,,
t12_r101_dial150_total,Table XII,systems,COCO,R101,M=150,DIAL-Prop,,total latency,22.3,,,21.9,22.7,ms,,reported_in_article,,equivalent + saving
t12_r101_dial150_save,Table XII,systems,COCO,R101,M=150,DIAL-Prop,,net saving,11.4,,,,,ms,,reported_in_article,,equivalent + saving
t12_maskr50_nms300_recall,Table XII,multi-backbone proposal,COCO,Mask R50,M=300,NMS,,proposal recall,96.7,,,,,percent,,reported_in_article,,reference
t12_maskr50_nms300_total,Table XII,systems,COCO,Mask R50,M=300,NMS,,total latency,27.0,,,26.6,27.4,ms,,reported_in_article,,reference
t12_maskr50_dial200_boxap,Table XII,multi-backbone proposal,COCO,Mask R50,M=200,DIAL-Prop,NMS-300,delta box AP vs NMS-300,0.16,,,0.03,0.29,points,,reported_in_article,,"task transfer; mask AP delta .12 [.01,.23]"
t12_maskr50_dial200_maskap,Table XII,multi-backbone proposal,COCO,Mask R50,M=200,DIAL-Prop,NMS-300,delta mask AP vs NMS-300,0.12,,,0.01,0.23,points,,reported_in_article,,
t12_maskr50_dial200_recall,Table XII,multi-backbone proposal,COCO,Mask R50,M=200,DIAL-Prop,,proposal recall,96.9,,,,,percent,,reported_in_article,,"task transfer; mask AP delta .12 [.01,.23]"
t12_maskr50_dial200_uprop,Table XII,proposal risk,COCO,Mask R50,M=200,DIAL-Prop,,Uprop,0.036,,,,,bounded miss UCB,,reported_in_article,,
t12_maskr50_dial200_total,Table XII,systems,COCO,Mask R50,M=200,DIAL-Prop,,total latency,21.1,,,20.7,21.5,ms,,reported_in_article,,"task transfer; mask AP delta .12 [.01,.23]"
t12_maskr50_dial200_save,Table XII,systems,COCO,Mask R50,M=200,DIAL-Prop,,net saving,5.9,,,,,ms,,reported_in_article,,"task transfer; mask AP delta .12 [.01,.23]"
