result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t13_local_instead_global_standard,Table XIII,architecture audit,COCO,multiple,standard,local instead global,DIAL-Full-CBA,standard AP delta,-0.41,,,-0.62,-0.2,points,,reported_in_article,,core decision contribution; params=same; latency=-1.10 ms
t13_local_instead_global_target,Table XIII,architecture audit,target regimes,multiple,target,local instead global,DIAL-Full-CBA,target-regime AP delta,-0.74,,,-1.05,-0.43,points,,reported_in_article,,core decision contribution
t13_remove_appearance_standard,Table XIII,architecture audit,COCO,multiple,standard,remove appearance,DIAL-Full-CBA,standard AP delta,-0.34,,,-0.5,-0.18,points,,reported_in_article,,core identity evidence; params=-0.31M; latency=-0.18 ms
t13_remove_appearance_target,Table XIII,architecture audit,target regimes,multiple,target,remove appearance,DIAL-Full-CBA,target-regime AP delta,-0.62,,,-0.86,-0.38,points,,reported_in_article,,core identity evidence
t13_remove_coverage_standard,Table XIII,architecture audit,COCO,multiple,standard,remove coverage,DIAL-Full-CBA,standard AP delta,-0.1,,,-0.21,0.01,points,,reported_in_article,,coverage-core; params=-0.08M; latency=-0.05 ms
t13_remove_coverage_target,Table XIII,architecture audit,target regimes,multiple,target,remove coverage,DIAL-Full-CBA,target-regime AP delta,-0.22,,,-0.37,-0.07,points,,reported_in_article,,coverage-core
t13_remove_budget_token_standard,Table XIII,architecture audit,COCO,multiple,standard,remove budget token,DIAL-Full-CBA,standard AP delta,-0.07,,,-0.17,0.03,points,,reported_in_article,,conditional; params=-0.01M; latency=negligible
t13_remove_budget_token_target,Table XIII,architecture audit,target regimes,multiple,target,remove budget token,DIAL-Full-CBA,target-regime AP delta,-0.31,,,-0.47,-0.15,points,,reported_in_article,,conditional
t13_remove_quality_gate_standard,Table XIII,architecture audit,COCO,multiple,standard,remove quality gate,DIAL-Full-CBA,standard AP delta,-0.07,,,-0.17,0.03,points,,reported_in_article,,conditional; params=-0.04M; latency=-0.03 ms
t13_remove_quality_gate_target,Table XIII,architecture audit,target regimes,multiple,target,remove quality gate,DIAL-Full-CBA,target-regime AP delta,-0.38,,,-0.57,-0.19,points,,reported_in_article,,conditional
t13_disable_semantic_pairs_standard,Table XIII,architecture audit,COCO,multiple,standard,disable semantic pairs,DIAL-Full-CBA,standard AP delta,-0.02,,,-0.1,0.06,points,,reported_in_article,,optional; params=-0.05M; latency=-0.04 ms
t13_disable_semantic_pairs_target,Table XIII,architecture audit,target regimes,multiple,target,disable semantic pairs,DIAL-Full-CBA,target-regime AP delta,-0.24,,,-0.4,-0.08,points,,reported_in_article,,optional
t13_dial_lite_standard,Table XIII,architecture audit,COCO,multiple,standard,dial lite,DIAL-Full-CBA,standard AP delta,-0.18,,,-0.3,-0.06,points,,reported_in_article,,latency-sensitive mode; params=0.70M; latency=2.05 ms
t13_dial_lite_target,Table XIII,architecture audit,target regimes,multiple,target,dial lite,DIAL-Full-CBA,target-regime AP delta,-0.27,,,-0.43,-0.11,points,,reported_in_article,,latency-sensitive mode
t13_dial_full_cba_standard,Table XIII,architecture audit,COCO,multiple,standard,dial full cba,DIAL-Full-CBA,standard AP delta,0,,,,,points,,reported_in_article,,accuracy-sensitive mode; params=2.35M; latency=3.20 ms
